LOGGING STARTED
robot_main , [BALANCING_ROBOT] 567993617807 | startup
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [MAIN_LOOP] 567993693755 | robot_frequency | [239.057434390529,77,233.60801485082075]
robot_main , [MAIN_LOOP] 567993693757 | kalman_comparison | [-3.245962386815108,0.8244205098972582]
robot_main , [CONTROLLER] 567993693758 | stability_controller | [0.7949999999999999,-3.245962386815108,53.871477576291355]
robot_main , [CONTROLLER] 567993693758 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993694259 | robot_frequency | [239.16899168172594,94,235.55524705928846]
robot_main , [MAIN_LOOP] 567993694261 | kalman_comparison | [-3.0893655708725984,1.5620613970099118]
robot_main , [CONTROLLER] 567993694264 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993694265 | stability_controller | [0.7949999999999999,-3.0893655708725984,52.22276107854932]
robot_main , [MAIN_LOOP] 567993694759 | robot_frequency | [241.96309849783327,7,235.19845192275886]
robot_main , [MAIN_LOOP] 567993694761 | kalman_comparison | [-3.1250890781508005,1.1781069998351206]
robot_main , [CONTROLLER] 567993694762 | stability_controller | [0.7949999999999999,-3.1250890781508005,36.37287729974655]
robot_main , [CONTROLLER] 567993694762 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993695260 | robot_frequency | [238.5181114922589,23,237.3179416167832]
robot_main , [MAIN_LOOP] 567993695261 | kalman_comparison | [-3.0989481579680946,1.2467738456553998]
robot_main , [CONTROLLER] 567993695262 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993695263 | stability_controller | [0.7949999999999999,-3.0989481579680946,45.146862088345905]
robot_main , [MAIN_LOOP] 567993695761 | robot_frequency | [241.4611924898489,40,236.270727615896]
robot_main , [MAIN_LOOP] 567993695763 | kalman_comparison | [-3.0564444316086723,1.3203434516859718]
robot_main , [CONTROLLER] 567993695766 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993695767 | stability_controller | [0.7949999999999999,-3.0564444316086723,56.764499016102505]
robot_main , [MAIN_LOOP] 567993696265 | robot_frequency | [235.77849672057064,55,236.1838222368256]
robot_main , [MAIN_LOOP] 567993696266 | kalman_comparison | [-3.02619009329026,1.1443956856453747]
robot_main , [CONTROLLER] 567993696267 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993696268 | stability_controller | [0.7949999999999999,-3.02619009329026,40.783847302042474]
robot_main , [MAIN_LOOP] 567993696765 | robot_frequency | [236.72501486197336,70,233.7289208347568]
robot_main , [MAIN_LOOP] 567993696768 | kalman_comparison | [-3.0235570694074356,1.3735982974815584]
robot_main , [CONTROLLER] 567993696770 | stability_controller | [0.7949999999999999,-3.0235570694074356,58.52186020113139]
robot_main , [CONTROLLER] 567993696770 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993697768 | robot_frequency | [234.0989749665871,98,233.69996797785848]
robot_main , [MAIN_LOOP] 567993697772 | kalman_comparison | [-3.0767496708961577,1.12704373941274]
robot_main , [CONTROLLER] 567993697773 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993697773 | stability_controller | [0.7949999999999999,-3.0767496708961577,63.89066984469366]
robot_main , [MAIN_LOOP] 567993698273 | robot_frequency | [229.70160345397235,14,240.1329828526868]
robot_main , [MAIN_LOOP] 567993698274 | kalman_comparison_predict_only | [-3.164618260146562]
robot_main , [CONTROLLER] 567993698276 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993698276 | stability_controller | [0.7949999999999999,-3.164618260146562,108.31202976674815]
robot_main , [MAIN_LOOP] 567993698774 | robot_frequency | [240.2718760502136,30,233.66209171307585]
robot_main , [MAIN_LOOP] 567993698777 | kalman_comparison_predict_only | [-3.0702905918860113]
robot_main , [CONTROLLER] 567993698779 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993698779 | stability_controller | [0.7949999999999999,-3.0702905918860113,89.78405160706593]
robot_main , [MAIN_LOOP] 567993699276 | robot_frequency | [239.69055667398092,47,237.939457027391]
robot_main , [MAIN_LOOP] 567993699278 | kalman_comparison | [-3.1397057520615026,0.9514182225370442]
robot_main , [CONTROLLER] 567993699279 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993699282 | stability_controller | [0.7949999999999999,-3.1397057520615026,46.799089457935914]
robot_main , [MAIN_LOOP] 567993699778 | robot_frequency | [238.6347317658716,62,234.25482531469402]
robot_main , [MAIN_LOOP] 567993699781 | kalman_comparison | [-3.07280236282862,1.2427808473930504]
robot_main , [CONTROLLER] 567993699783 | stability_controller | [0.7949999999999999,-3.07280236282862,62.65816726759813]
robot_main , [CONTROLLER] 567993699783 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993700782 | robot_frequency | [237.20364214159727,94,235.88591066454745]
robot_main , [MAIN_LOOP] 567993700784 | kalman_comparison | [-3.0460351844441598,1.489923088385664]
robot_main , [CONTROLLER] 567993700785 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993700786 | stability_controller | [0.7949999999999999,-3.0460351844441598,39.16839694312041]
robot_main , [MAIN_LOOP] 567993701285 | robot_frequency | [238.3811811804488,10,238.97482565377223]
robot_main , [MAIN_LOOP] 567993701287 | kalman_comparison | [-3.1724262340405467,0.7026930515504887]
robot_main , [CONTROLLER] 567993701291 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993701291 | stability_controller | [0.7949999999999999,-3.1724262340405467,63.69596983584552]
robot_main , [MAIN_LOOP] 567993701789 | robot_frequency | [240.4609176533283,26,234.7255888481103]
robot_main , [MAIN_LOOP] 567993701790 | kalman_comparison_predict_only | [-3.0698478845867823]
robot_main , [CONTROLLER] 567993701794 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993701794 | stability_controller | [0.7949999999999999,-3.0698478845867823,94.57525763705098]
robot_main , [MAIN_LOOP] 567993702292 | robot_frequency | [235.11678982663315,40,233.45796578320255]
robot_main , [MAIN_LOOP] 567993702294 | kalman_comparison | [-3.445250586018342,0.28777146021687994]
robot_main , [CONTROLLER] 567993702297 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993702298 | stability_controller | [0.7949999999999999,-3.445250586018342,71.59138957334184]
robot_main , [MAIN_LOOP] 567993702795 | robot_frequency | [238.9801341259384,56,234.20039342921024]
robot_main , [MAIN_LOOP] 567993702798 | kalman_comparison_predict_only | [-3.120175119583142]
robot_main , [CONTROLLER] 567993702800 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993702800 | stability_controller | [0.7949999999999999,-3.120175119583142,93.44680444554996]
robot_main , [MAIN_LOOP] 567993703297 | robot_frequency | [238.10067171714303,71,234.82101501710105]
robot_main , [MAIN_LOOP] 567993703298 | kalman_comparison | [-3.5526529654500894,0.30240658424386296]
robot_main , [CONTROLLER] 567993703300 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993703302 | stability_controller | [0.7949999999999999,-3.5526529654500894,87.72186428807576]
robot_main , [MAIN_LOOP] 567993703797 | robot_frequency | [240.66125971452965,88,236.1983527474181]
robot_main , [MAIN_LOOP] 567993703798 | kalman_comparison | [-3.6326288060376344,1.1309989291241431]
robot_main , [CONTROLLER] 567993703800 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993703802 | stability_controller | [0.7949999999999999,-3.6326288060376344,32.56770751455352]
robot_main , [MAIN_LOOP] 567993704298 | robot_frequency | [241.16545856940078,2,236.81935820140268]
robot_main , [MAIN_LOOP] 567993704302 | kalman_comparison_predict_only | [-3.1571584837919158]
robot_main , [CONTROLLER] 567993704303 | stability_controller | [0.7949999999999999,-3.1571584837919158,93.17110039251958]
robot_main , [CONTROLLER] 567993704303 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993704799 | robot_frequency | [232.05454915474348,16,234.4907396293785]
robot_main , [MAIN_LOOP] 567993704801 | kalman_comparison | [-3.301738560302168,1.3136454717086568]
robot_main , [CONTROLLER] 567993704802 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993704802 | stability_controller | [0.7949999999999999,-3.301738560302168,39.30471482623292]
robot_main , [MAIN_LOOP] 567993705804 | robot_frequency | [233.76144547460183,45,232.2952540650518]
robot_main , [MAIN_LOOP] 567993705807 | kalman_comparison_predict_only | [-3.148172426984081]
robot_main , [CONTROLLER] 567993705809 | stability_controller | [0.7949999999999999,-3.148172426984081,91.96142486094071]
robot_main , [CONTROLLER] 567993705809 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993706304 | robot_frequency | [234.6125562149819,59,233.1350432063482]
robot_main , [MAIN_LOOP] 567993706306 | kalman_comparison | [-3.1520781871258645,1.1237263333630756]
robot_main , [CONTROLLER] 567993706307 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993706308 | stability_controller | [0.7949999999999999,-3.1520781871258645,40.52514211865007]
robot_main , [MAIN_LOOP] 567993706807 | robot_frequency | [236.8214504538623,75,235.31736492643682]
robot_main , [MAIN_LOOP] 567993706809 | kalman_comparison | [-3.153098828591437,1.2095338732619507]
robot_main , [CONTROLLER] 567993706810 | stability_controller | [0.7949999999999999,-3.153098828591437,54.80290833953579]
robot_main , [CONTROLLER] 567993706810 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993707310 | robot_frequency | [237.8996682342903,92,235.38601051380664]
robot_main , [MAIN_LOOP] 567993707311 | kalman_comparison | [-3.135051613909912,1.3585243002648566]
robot_main , [CONTROLLER] 567993707312 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993707315 | stability_controller | [0.7949999999999999,-3.135051613909912,32.951402985768404]
robot_main , [MAIN_LOOP] 567993707814 | robot_frequency | [229.50733171796844,6,236.99104289346138]
robot_main , [MAIN_LOOP] 567993707816 | kalman_comparison | [-3.160797860454856,1.299825762042403]
robot_main , [CONTROLLER] 567993707819 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993707820 | stability_controller | [0.7949999999999999,-3.160797860454856,63.316401658521976]
robot_main , [MAIN_LOOP] 567993708315 | robot_frequency | [235.1242846096208,21,234.5381822260238]
robot_main , [MAIN_LOOP] 567993708319 | kalman_comparison_predict_only | [-3.155084975390187]
robot_main , [CONTROLLER] 567993708320 | stability_controller | [0.7949999999999999,-3.155084975390187,91.35064732990702]
robot_main , [CONTROLLER] 567993708320 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993708819 | robot_frequency | [239.87718287960897,38,235.71131673305618]
robot_main , [MAIN_LOOP] 567993708821 | kalman_comparison | [-3.218323454552357,1.312820968919108]
robot_main , [CONTROLLER] 567993708824 | stability_controller | [0.7949999999999999,-3.218323454552357,54.27058553129175]
robot_main , [CONTROLLER] 567993708824 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993709322 | robot_frequency | [233.86753264293546,52,235.10849188973475]
robot_main , [MAIN_LOOP] 567993709323 | kalman_comparison | [-3.180681146232829,1.2529541066057]
robot_main , [CONTROLLER] 567993709324 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993709324 | stability_controller | [0.7949999999999999,-3.180681146232829,44.78292196678238]
robot_main , [MAIN_LOOP] 567993709822 | robot_frequency | [241.1827611262508,69,233.59376453658857]
robot_main , [MAIN_LOOP] 567993709824 | kalman_comparison | [-3.1263816066635504,1.4728617443357168]
robot_main , [CONTROLLER] 567993709825 | stability_controller | [0.7949999999999999,-3.1263816066635504,32.21458786695272]
robot_main , [CONTROLLER] 567993709825 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993710324 | robot_frequency | [236.78152097888176,85,238.82814460770476]
robot_main , [MAIN_LOOP] 567993710328 | kalman_comparison_predict_only | [-3.2049205294696046]
robot_main , [CONTROLLER] 567993710329 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993710329 | stability_controller | [0.7949999999999999,-3.2049205294696046,88.87659573898524]
robot_main , [MAIN_LOOP] 567993710826 | robot_frequency | [234.85517629075184,99,235.53387601429412]
robot_main , [MAIN_LOOP] 567993710827 | kalman_comparison | [-3.2547555359947884,0.8099203138404902]
robot_main , [CONTROLLER] 567993710829 | stability_controller | [0.7949999999999999,-3.2547555359947884,41.36313050825374]
robot_main , [CONTROLLER] 567993710829 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993711829 | robot_frequency | [232.82900559870325,29,235.47051986159758]
robot_main , [MAIN_LOOP] 567993711832 | kalman_comparison_predict_only | [-3.142262418255152]
robot_main , [CONTROLLER] 567993711833 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993711834 | stability_controller | [0.7949999999999999,-3.142262418255152,88.84264758859047]
robot_main , [MAIN_LOOP] 567993712329 | robot_frequency | [239.97886038816293,44,232.14627683481845]
robot_main , [MAIN_LOOP] 567993712333 | kalman_comparison | [-2.6552391662490744,2.6074665433500526]
robot_main , [CONTROLLER] 567993712334 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993712334 | stability_controller | [0.7949999999999999,-2.6552391662490744,51.76223417479751]
robot_main , [MAIN_LOOP] 567993712831 | robot_frequency | [239.04920597389693,60,236.06210936132524]
robot_main , [MAIN_LOOP] 567993712833 | kalman_comparison | [-3.0764833937346716,1.0732473298563305]
robot_main , [CONTROLLER] 567993712836 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993712837 | stability_controller | [0.7949999999999999,-3.0764833937346716,62.85575904270885]
robot_main , [MAIN_LOOP] 567993713331 | robot_frequency | [236.28967674138175,75,236.29437474630532]
robot_main , [MAIN_LOOP] 567993713333 | kalman_comparison_predict_only | [-3.0708354535204405]
robot_main , [CONTROLLER] 567993713336 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993713336 | stability_controller | [0.7949999999999999,-3.0708354535204405,89.2757262791128]
robot_main , [MAIN_LOOP] 567993713835 | robot_frequency | [234.8270575704444,90,234.64598879426046]
robot_main , [MAIN_LOOP] 567993713838 | kalman_comparison_predict_only | [-3.1280223716437274]
robot_main , [CONTROLLER] 567993713840 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993713840 | stability_controller | [0.7949999999999999,-3.1280223716437274,93.02782455870765]
robot_main , [MAIN_LOOP] 567993714840 | robot_frequency | [241.91485887109147,23,237.81224211739894]
robot_main , [MAIN_LOOP] 567993714842 | kalman_comparison | [-3.1328470278155724,0.8607405797476418]
robot_main , [CONTROLLER] 567993714843 | stability_controller | [0.7949999999999999,-3.1328470278155724,49.064133706076774]
robot_main , [CONTROLLER] 567993714843 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993715343 | robot_frequency | [236.5778658541733,38,234.99955947425917]
robot_main , [MAIN_LOOP] 567993715344 | kalman_comparison | [-2.94841960901569,1.9176771255069098]
robot_main , [CONTROLLER] 567993715346 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993715348 | stability_controller | [0.7949999999999999,-2.94841960901569,32.845043173514014]
robot_main , [MAIN_LOOP] 567993715845 | robot_frequency | [240.6087699306546,55,235.9421258660645]
robot_main , [MAIN_LOOP] 567993715846 | kalman_comparison | [-3.08170200969102,1.2137425707423628]
robot_main , [CONTROLLER] 567993715847 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993715848 | stability_controller | [0.7949999999999999,-3.08170200969102,41.128157269622946]
robot_main , [MAIN_LOOP] 567993716345 | robot_frequency | [239.35969293925726,70,235.01530917902812]
robot_main , [MAIN_LOOP] 567993716347 | kalman_comparison | [-2.979499375933829,1.5873428375057803]
robot_main , [CONTROLLER] 567993716350 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993716350 | stability_controller | [0.7949999999999999,-2.979499375933829,52.912885976030125]
robot_main , [MAIN_LOOP] 567993716850 | robot_frequency | [236.1426330298131,85,235.77214627707764]
robot_main , [MAIN_LOOP] 567993716851 | kalman_comparison | [-3.0333429422421703,1.2562376818332313]
robot_main , [CONTROLLER] 567993716852 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993716853 | stability_controller | [0.7949999999999999,-3.0333429422421703,43.93976918130815]
robot_main , [MAIN_LOOP] 567993717353 | robot_frequency | [235.47644181992956,99,232.45885638566125]
robot_main , [MAIN_LOOP] 567993717356 | kalman_comparison_predict_only | [-3.0451416668441533]
robot_main , [CONTROLLER] 567993717358 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993717358 | stability_controller | [0.7949999999999999,-3.0451416668441533,92.17458349758316]
robot_main , [MAIN_LOOP] 567993717854 | robot_frequency | [230.42387136625837,13,235.91535867612674]
robot_main , [MAIN_LOOP] 567993717856 | kalman_comparison | [-3.0033423462581728,1.3273695520297035]
robot_main , [CONTROLLER] 567993717857 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993717857 | stability_controller | [0.7949999999999999,-3.0033423462581728,42.752458143659695]
robot_main , [MAIN_LOOP] 567993718358 | robot_frequency | [234.36280090541962,30,236.89351902928195]
robot_main , [MAIN_LOOP] 567993718359 | kalman_comparison | [-2.9787293806098187,1.4346183305450118]
robot_main , [CONTROLLER] 567993718360 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993718361 | stability_controller | [0.7949999999999999,-2.9787293806098187,48.67757435570171]
robot_main , [MAIN_LOOP] 567993718860 | robot_frequency | [238.3263015224416,47,235.97606851455544]
robot_main , [MAIN_LOOP] 567993718862 | kalman_comparison | [-3.0039562680093015,1.2884608465563738]
robot_main , [CONTROLLER] 567993718863 | stability_controller | [0.7949999999999999,-3.0039562680093015,43.142557954432945]
robot_main , [CONTROLLER] 567993718863 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [MAIN_LOOP] 567993719364 | robot_frequency | [237.33164172512275,64,236.70263564347482]
robot_main , [MAIN_LOOP] 567993719367 | kalman_comparison_predict_only | [-2.958991737220698]
robot_main , [CONTROLLER] 567993719368 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993719369 | stability_controller | [0.7949999999999999,-2.958991737220698,89.50305343993477]
robot_main , [MAIN_LOOP] 567993719865 | robot_frequency | [239.64885773745786,79,232.3568568854775]
robot_main , [MAIN_LOOP] 567993719867 | kalman_comparison | [-3.0370738160401203,1.2245441252964928]
robot_main , [CONTROLLER] 567993719870 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993719871 | stability_controller | [0.7949999999999999,-3.0370738160401203,62.354982349162555]
robot_main , [MAIN_LOOP] 567993720366 | robot_frequency | [239.78667455364598,95,235.92783579566876]
robot_main , [MAIN_LOOP] 567993720369 | kalman_comparison_predict_only | [-3.128266058021337]
robot_main , [CONTROLLER] 567993720370 | speed_controller | [0.0,0.0,0.7949999999999999]
robot_main , [CONTROLLER] 567993720371 | stability_controller | [0.7949999999999999,-3.128266058021337,91.14981465331337]
robot_main , [MAIN_LOOP] 567993720870 | robot_frequency | [239.29101245949497,11,238.26264069536535]
robot_main , [MAIN_LOOP] 567993720874 | kalman_comparison_predict_only | [-3.06667673251458]
robot_main , [CONTROLLER] 567993720875 | stability_controller | [0.7949999999999999,-3.06667673251458,90.30902525555412]
robot_main , [CONTROLLER] 567993720875 | speed_controller | [0.0,0.0,0.7949999999999999]
